tituloProduto,preco,descricao,imgProduto,catProduto,classProduto,exibirHome
Furadeira Elétrica,150,Furadeira elétrica com mandril de 13mm e 600W de potência.,c:\images\Furadeira Elétrica.jpg,Ferramentas Manuais,Novo,True
Parafusadeira,100,Parafusadeira portátil ideal para montagem de móveis.,c:\images\Parafusadeira.jpg,Ferramentas Manuais,Novo,True
Serra Circular,200,"Serra circular com lâmina de 7 polegadas, ideal para cortes precisos.",c:\images\Serra Circular.jpg,Ferramentas Elétricas,Novo,True
Lixadeira,75,Lixadeira orbital para acabamentos em madeira.,c:\images\Lixadeira.jpg,Ferramentas Elétricas,Novo,True
Martelo,50,Martelo de borracha com cabo ergonômico.,c:\images\Martelo.jpg,Ferramentas Manuais,Novo,True
Alicate,25,Alicate universal de 8 polegadas.,c:\images\Alicate.jpg,Ferramentas Manuais,Novo,True
Chave de Fenda,30,Chave de fenda com cabo antideslizante.,c:\images\Chave de Fenda.jpg,Ferramentas Manuais,Novo,True
Serra Tico-Tico,250,Serra tico-tico com velocidade variável.,c:\images\Serra Tico-Tico.jpg,Ferramentas Elétricas,Novo,True
Furadeira de Impacto,300,Furadeira de impacto com 800W e 2 velocidades.,c:\images\Furadeira de Impacto.jpg,Ferramentas Elétricas,Novo,True
Plaina,90,Plaina elétrica com largura de 82mm.,c:\images\Plaina.jpg,Ferramentas Elétricas,Novo,True
Trena,15,Trena de 5 metros com mecanismo de retorno rápido.,c:\images\Trena.jpg,Ferramentas Manuais,Novo,True
Nível a Laser,45,Nível a laser com alcance de 20 metros.,c:\images\Nível a Laser.jpg,Ferramentas Manuais,Novo,True
Broca para Madeira,20,"Broca para madeira, 5 peças.",c:\images\Broca para Madeira.jpg,Ferramentas Manuais,Novo,True
Broca para Metal,20,"Broca para metal, 5 peças.",c:\images\Broca para Metal.jpg,Ferramentas Manuais,Novo,True
Serra de Arco,60,Serra de arco com lâmina de 12 polegadas.,c:\images\Serra de Arco.jpg,Ferramentas Manuais,Novo,True
Cortador de Grama,80,"Cortador de grama manual, leve e fácil de usar.",c:\images\Cortador de Grama.jpg,Ferramentas Elétricas,Novo,True
Escada Dobrável,70,"Escada dobrável em alumínio, 3 degraus.",c:\images\Escada Dobrável.jpg,Ferramentas Manuais,Novo,True
Chave Inglesa,120,Chave inglesa ajustável de 12 polegadas.,c:\images\Chave Inglesa.jpg,Ferramentas Manuais,Novo,True
Furadeira de Coluna,90,Furadeira de coluna com velocidade variável.,c:\images\Furadeira de Coluna.jpg,Ferramentas Elétricas,Novo,True
Parafuso de Madeira,350,"Parafuso de madeira, 50 peças.",c:\images\Parafuso de Madeira.jpg,Ferramentas Elétricas,Novo,True
Parafuso Metálico,5,"Parafuso metálico, 50 peças.",c:\images\Parafuso Metálico.jpg,Ferramentas Manuais,Novo,True
Tico-Tico Elétrico,10,Tico-tico elétrico com lâmina de reposição.,c:\images\Tico-Tico Elétrico.jpg,Ferramentas Manuais,Novo,True
Cortadora de Azulejos,120,"Cortadora de azulejos, ideal para reformas.",c:\images\Cortadora de Azulejos.jpg,Ferramentas Elétricas,Novo,True
Lima,100,"Lima de metal, 6 polegadas.",c:\images\Lima.jpg,Ferramentas Elétricas,Novo,True
Serra Sabre,35,Serra sabre com lâminas intercambiáveis.,c:\images\Serra Sabre.jpg,Ferramentas Manuais,Novo,True
Bico de Luz,45,Bico de luz LED com baixo consumo.,c:\images\Bico de Luz.jpg,Ferramentas Manuais,Novo,True
Aspirador de Pó,40,"Aspirador de pó portátil, ideal para limpeza rápida.",c:\images\Aspirador de Pó.jpg,Ferramentas Elétricas,Novo,True
